Ride,Date/Time,Wait Time
Alice in Wonderland,2020-02-03 18:05:05,25
Alice in Wonderland,2020-02-03 18:10:03,25
Alice in Wonderland,2020-02-03 18:15:04,25
Alice in Wonderland,2020-02-03 18:20:05,25
Alice in Wonderland,2020-02-03 18:25:03,25
Alice in Wonderland,2020-02-03 18:30:05,25
Alice in Wonderland,2020-02-03 18:35:06,25
Alice in Wonderland,2020-02-03 18:40:05,25
Alice in Wonderland,2020-02-03 18:45:04,25
Alice in Wonderland,2020-02-03 18:50:06,25
Alice in Wonderland,2020-02-03 18:55:04,25
Alice in Wonderland,2020-02-03 19:00:05,25
Alice in Wonderland,2020-02-03 19:05:04,25
Alice in Wonderland,2020-02-03 19:10:03,25
Alice in Wonderland,2020-02-03 19:15:06,25
Alice in Wonderland,2020-02-03 19:20:05,25
Alice in Wonderland,2020-02-03 19:25:04,25
Alice in Wonderland,2020-02-03 19:30:06,25
Alice in Wonderland,2020-02-03 19:35:05,25
Alice in Wonderland,2020-02-03 19:40:04,25
Alice in Wonderland,2020-02-03 19:45:06,25
Alice in Wonderland,2020-02-03 19:50:04,25
Alice in Wonderland,2020-02-03 19:55:04,25
Alice in Wonderland,2020-02-03 20:00:05,25
Alice in Wonderland,2020-02-03 20:05:05,25
Alice in Wonderland,2020-02-03 20:10:03,25
Alice in Wonderland,2020-02-03 20:15:05,25
Alice in Wonderland,2020-02-03 20:20:07,25
Alice in Wonderland,2020-02-03 20:25:13,25
Alice in Wonderland,2020-02-03 20:32:08,25
Alice in Wonderland,2020-02-03 20:35:06,25
Alice in Wonderland,2020-02-03 20:40:07,25
Alice in Wonderland,2020-02-03 20:45:04,25
Alice in Wonderland,2020-02-03 20:50:05,25
Alice in Wonderland,2020-02-03 20:55:04,25
Alice in Wonderland,2020-02-03 21:00:10,25
Alice in Wonderland,2020-02-04 08:05:04,5
Alice in Wonderland,2020-02-04 08:10:04,25
Alice in Wonderland,2020-02-04 08:15:05,25
Alice in Wonderland,2020-02-04 08:20:04,25
Alice in Wonderland,2020-02-04 08:25:05,30
Alice in Wonderland,2020-02-04 08:30:05,30
Alice in Wonderland,2020-02-04 08:50:04,30
Alice in Wonderland,2020-02-04 08:55:05,30
Alice in Wonderland,2020-02-04 09:00:08,30
Alice in Wonderland,2020-02-04 09:05:04,30
Alice in Wonderland,2020-02-04 09:10:05,30
Alice in Wonderland,2020-02-04 09:15:05,30
Alice in Wonderland,2020-02-04 09:20:04,30
Alice in Wonderland,2020-02-04 09:25:04,30
Alice in Wonderland,2020-02-04 09:30:05,30
Alice in Wonderland,2020-02-04 09:35:05,30
Alice in Wonderland,2020-02-04 09:40:04,30
Alice in Wonderland,2020-02-04 09:45:35,30
Alice in Wonderland,2020-02-04 09:50:06,30
Alice in Wonderland,2020-02-04 09:56:55,30
Alice in Wonderland,2020-02-04 10:00:05,30
Alice in Wonderland,2020-02-04 10:05:04,30
Alice in Wonderland,2020-02-04 10:10:04,30
Alice in Wonderland,2020-02-04 10:15:04,30
Alice in Wonderland,2020-02-04 10:20:07,30
Alice in Wonderland,2020-02-04 10:25:04,30
Alice in Wonderland,2020-02-04 10:30:05,30
Alice in Wonderland,2020-02-04 10:35:04,30
Alice in Wonderland,2020-02-04 10:40:05,20
Alice in Wonderland,2020-02-04 10:45:03,20
Alice in Wonderland,2020-02-04 10:50:05,20
Alice in Wonderland,2020-02-04 10:55:04,20
Alice in Wonderland,2020-02-04 11:00:07,20
Alice in Wonderland,2020-02-04 11:05:04,20
Alice in Wonderland,2020-02-04 11:10:04,20
Alice in Wonderland,2020-02-04 11:15:03,20
Alice in Wonderland,2020-02-04 11:20:04,20
Alice in Wonderland,2020-02-04 11:25:04,20
Alice in Wonderland,2020-02-04 11:30:05,20
Alice in Wonderland,2020-02-04 11:50:03,20
Alice in Wonderland,2020-02-04 11:55:04,20
Alice in Wonderland,2020-02-04 12:00:07,20
Alice in Wonderland,2020-02-04 12:05:04,20
Alice in Wonderland,2020-02-04 12:10:05,20
Alice in Wonderland,2020-02-04 12:15:04,20
Alice in Wonderland,2020-02-04 12:20:05,20
Alice in Wonderland,2020-02-04 12:25:04,20
Alice in Wonderland,2020-02-04 12:30:05,20
Alice in Wonderland,2020-02-04 12:35:04,20
Alice in Wonderland,2020-02-04 12:40:07,20
Alice in Wonderland,2020-02-04 12:45:04,20
