Park,Date/Time,Wait Time
EPCOT,2020-02-04 14:50:00,30
EPCOT,2020-02-04 14:55:00,30
EPCOT,2020-02-04 15:00:00,30
EPCOT,2020-02-04 15:05:00,30
EPCOT,2020-02-04 15:10:00,30
EPCOT,2020-02-04 15:20:00,33
EPCOT,2020-02-04 15:25:00,33
EPCOT,2020-02-04 15:30:00,32
EPCOT,2020-02-04 15:35:00,33
EPCOT,2020-02-04 15:40:00,34
EPCOT,2020-02-04 15:45:00,28
EPCOT,2020-02-04 15:50:00,29
EPCOT,2020-02-04 15:55:00,28
EPCOT,2020-02-04 16:00:00,28
EPCOT,2020-02-04 16:05:00,30
EPCOT,2020-02-04 16:10:00,30
EPCOT,2020-02-04 16:15:00,28
EPCOT,2020-02-04 16:20:00,26
EPCOT,2020-02-04 16:25:00,26
EPCOT,2020-02-04 16:30:00,26
EPCOT,2020-02-04 16:35:00,26
EPCOT,2020-02-04 16:40:00,26
EPCOT,2020-02-04 16:45:00,26
EPCOT,2020-02-04 16:50:00,26
EPCOT,2020-02-04 16:55:00,26
EPCOT,2020-02-04 17:00:00,26
EPCOT,2020-02-04 17:05:00,26
EPCOT,2020-02-04 17:10:00,24
EPCOT,2020-02-04 17:15:00,24
EPCOT,2020-02-04 17:20:00,11
EPCOT,2020-02-04 17:25:00,13
EPCOT,2020-02-04 17:30:00,14
EPCOT,2020-02-04 17:35:00,14
EPCOT,2020-02-04 17:40:00,12
EPCOT,2020-02-04 17:45:00,12
EPCOT,2020-02-04 17:50:00,12
EPCOT,2020-02-04 17:55:00,12
EPCOT,2020-02-04 18:00:00,13
EPCOT,2020-02-04 18:05:00,20
EPCOT,2020-02-04 18:10:00,20
EPCOT,2020-02-04 18:15:00,20
EPCOT,2020-02-04 18:20:00,20
EPCOT,2020-02-04 18:25:00,22
EPCOT,2020-02-04 18:30:00,22
EPCOT,2020-02-04 18:35:00,22
EPCOT,2020-02-04 18:40:00,22
EPCOT,2020-02-04 18:45:00,24
EPCOT,2020-02-04 18:50:00,24
EPCOT,2020-02-04 18:55:00,23
EPCOT,2020-02-04 19:00:00,26
EPCOT,2020-02-04 19:05:00,24
EPCOT,2020-02-04 19:10:00,24
EPCOT,2020-02-04 19:15:00,25
EPCOT,2020-02-04 19:20:00,21
EPCOT,2020-02-04 19:25:00,23
EPCOT,2020-02-04 19:30:00,23
EPCOT,2020-02-04 19:35:00,23
EPCOT,2020-02-04 19:40:00,24
EPCOT,2020-02-04 19:45:00,24
EPCOT,2020-02-04 19:50:00,24
EPCOT,2020-02-04 19:55:00,21
EPCOT,2020-02-04 20:00:00,22
EPCOT,2020-02-04 20:05:00,24
EPCOT,2020-02-04 20:10:00,21
EPCOT,2020-02-04 20:15:00,22
EPCOT,2020-02-04 20:20:00,20
EPCOT,2020-02-04 20:25:00,18
EPCOT,2020-02-04 20:30:00,18
EPCOT,2020-02-04 20:35:00,18
EPCOT,2020-02-04 20:40:00,19
EPCOT,2020-02-04 20:45:00,18
EPCOT,2020-02-04 20:50:00,17
EPCOT,2020-02-04 20:55:00,17
EPCOT,2020-02-04 21:00:00,14
EPCOT,2020-02-04 21:05:00,13
EPCOT,2020-02-04 21:10:00,12
EPCOT,2020-02-04 21:15:00,13
EPCOT,2020-02-04 21:20:00,13
EPCOT,2020-02-04 21:25:00,14
EPCOT,2020-02-04 21:30:00,16
EPCOT,2020-02-04 21:35:00,16
EPCOT,2020-02-04 21:45:00,14
EPCOT,2020-02-04 21:50:00,13
EPCOT,2020-02-04 21:55:00,12
EPCOT,2020-02-04 22:00:00,13
EPCOT,2020-02-04 22:05:00,12
EPCOT,2020-02-04 22:10:00,14
EPCOT,2020-02-04 22:15:00,14
EPCOT,2020-02-04 22:20:00,14
EPCOT,2020-02-04 22:25:00,13
EPCOT,2020-02-04 22:30:00,12
EPCOT,2020-02-04 22:35:00,12
EPCOT,2020-02-04 22:40:00,12
EPCOT,2020-02-04 22:45:00,12
EPCOT,2020-02-04 22:50:00,11
EPCOT,2020-02-04 22:55:00,11
EPCOT,2020-02-04 23:00:00,9
EPCOT,2020-02-05 09:00:00,11
EPCOT,2020-02-05 09:05:00,12
EPCOT,2020-02-05 09:10:00,12
EPCOT,2020-02-05 09:15:00,18
EPCOT,2020-02-05 09:20:00,24
EPCOT,2020-02-05 09:25:00,26
EPCOT,2020-02-05 09:30:00,25
EPCOT,2020-02-05 09:35:00,26
EPCOT,2020-02-05 09:40:00,26
EPCOT,2020-02-05 09:45:00,27
EPCOT,2020-02-05 09:50:00,26
EPCOT,2020-02-05 09:55:00,26
EPCOT,2020-02-05 10:00:00,28
EPCOT,2020-02-05 10:05:00,28
EPCOT,2020-02-05 10:10:00,29
EPCOT,2020-02-05 10:15:00,29
EPCOT,2020-02-05 10:20:00,33
EPCOT,2020-02-05 10:25:00,33
EPCOT,2020-02-05 10:30:00,37
EPCOT,2020-02-05 10:35:00,39
EPCOT,2020-02-05 10:40:00,41
EPCOT,2020-02-05 10:45:00,41
EPCOT,2020-02-05 10:50:00,44
EPCOT,2020-02-05 10:55:00,51
EPCOT,2020-02-05 11:00:00,51
EPCOT,2020-02-05 11:05:00,49
EPCOT,2020-02-05 11:10:00,48
EPCOT,2020-02-05 11:15:00,46
EPCOT,2020-02-05 11:20:00,50
EPCOT,2020-02-05 11:25:00,48
EPCOT,2020-02-05 11:30:00,48
EPCOT,2020-02-05 11:35:00,44
EPCOT,2020-02-05 11:40:00,44
EPCOT,2020-02-05 11:45:00,44
EPCOT,2020-02-05 11:50:00,40
EPCOT,2020-02-05 11:55:00,40
EPCOT,2020-02-05 12:00:00,40
EPCOT,2020-02-05 12:05:00,39
EPCOT,2020-02-05 12:10:00,37
EPCOT,2020-02-05 12:15:00,37
EPCOT,2020-02-05 12:20:00,34
EPCOT,2020-02-05 12:25:00,38
EPCOT,2020-02-05 12:30:00,34
EPCOT,2020-02-05 12:35:00,34
EPCOT,2020-02-05 12:40:00,36
EPCOT,2020-02-05 12:45:00,32
EPCOT,2020-02-05 12:50:00,28
EPCOT,2020-02-05 12:55:00,24
EPCOT,2020-02-05 13:00:00,25
EPCOT,2020-02-05 13:05:00,22
EPCOT,2020-02-05 13:10:00,22
EPCOT,2020-02-05 13:15:00,30
EPCOT,2020-02-05 13:20:00,29
EPCOT,2020-02-05 13:25:00,23
EPCOT,2020-02-05 13:30:00,24
EPCOT,2020-02-05 13:35:00,23
EPCOT,2020-02-05 13:40:00,24
EPCOT,2020-02-05 13:45:00,24
EPCOT,2020-02-05 13:50:00,24
EPCOT,2020-02-05 13:55:00,23
EPCOT,2020-02-05 14:00:00,22
EPCOT,2020-02-05 14:05:00,24
EPCOT,2020-02-05 14:10:00,22
EPCOT,2020-02-05 14:15:00,20
