date,datetime,SACTMIN,SPOSTMIN
01/19/2015,2015-01-19 15:35:05,,25
01/19/2015,2015-01-19 15:40:05,,25
01/19/2015,2015-01-19 15:45:08,,25
01/19/2015,2015-01-19 15:50:05,,25
01/19/2015,2015-01-19 15:55:05,,30
01/19/2015,2015-01-19 16:00:06,,30
01/19/2015,2015-01-19 16:05:05,,25
01/19/2015,2015-01-19 16:10:06,,25
01/19/2015,2015-01-19 16:15:06,,40
01/19/2015,2015-01-19 16:20:06,,40
01/19/2015,2015-01-19 16:25:05,,40
01/19/2015,2015-01-19 16:27:36,,30
01/19/2015,2015-01-19 16:30:06,,45
01/19/2015,2015-01-19 16:35:05,,45
01/19/2015,2015-01-19 16:40:05,,35
01/19/2015,2015-01-19 16:45:05,,35
01/19/2015,2015-01-19 16:50:06,,35
01/19/2015,2015-01-19 16:55:06,,35
01/19/2015,2015-01-19 17:00:07,,35
01/19/2015,2015-01-19 17:05:05,,25
01/19/2015,2015-01-19 17:10:06,,25
01/19/2015,2015-01-19 17:15:05,,25
01/19/2015,2015-01-19 17:20:05,,20
01/19/2015,2015-01-19 17:25:05,,25
01/19/2015,2015-01-19 17:30:06,,25
01/19/2015,2015-01-19 17:35:05,,25
01/19/2015,2015-01-19 17:40:06,,15
01/19/2015,2015-01-19 17:45:05,,30
01/19/2015,2015-01-19 17:50:05,,20
01/19/2015,2015-01-19 17:55:07,,15
01/19/2015,2015-01-19 18:00:06,,15
01/19/2015,2015-01-19 18:05:05,,15
01/19/2015,2015-01-19 18:10:06,,15
01/19/2015,2015-01-19 18:15:06,,15
01/19/2015,2015-01-19 18:20:05,,15
01/19/2015,2015-01-19 18:25:16,,10
01/19/2015,2015-01-19 18:30:05,,15
01/19/2015,2015-01-19 18:35:05,,10
01/19/2015,2015-01-19 18:40:05,,10
01/19/2015,2015-01-19 18:45:10,,10
01/19/2015,2015-01-19 18:50:05,,15
01/19/2015,2015-01-19 18:55:05,,15
01/19/2015,2015-01-19 19:00:06,,10
01/19/2015,2015-01-19 19:05:05,,20
01/19/2015,2015-01-19 19:10:05,,10
01/19/2015,2015-01-19 19:15:05,,10
01/19/2015,2015-01-19 19:20:05,,10
01/19/2015,2015-01-19 19:25:05,,10
01/19/2015,2015-01-19 19:30:06,,10
01/19/2015,2015-01-19 19:35:05,,65
01/19/2015,2015-01-19 19:40:06,,10
01/19/2015,2015-01-19 19:45:04,,10
01/19/2015,2015-01-19 19:50:06,,10
01/19/2015,2015-01-19 19:55:04,,10
01/19/2015,2015-01-19 20:00:06,,10
01/19/2015,2015-01-19 20:05:06,,10
01/19/2015,2015-01-19 20:10:05,,10
01/19/2015,2015-01-19 20:15:05,,10
01/19/2015,2015-01-19 20:20:06,,10
01/19/2015,2015-01-19 20:25:05,,10
01/19/2015,2015-01-19 20:30:06,,10
01/19/2015,2015-01-19 20:35:05,,10
01/19/2015,2015-01-19 20:40:05,,10
01/19/2015,2015-01-19 20:45:05,,15
01/19/2015,2015-01-19 20:50:05,,10
01/19/2015,2015-01-19 20:55:10,,10
01/19/2015,2015-01-19 21:00:06,,10
01/19/2015,2015-01-19 21:05:05,,10
01/19/2015,2015-01-19 21:10:06,,15
01/19/2015,2015-01-19 21:15:05,,10
01/19/2015,2015-01-19 21:25:05,,10
01/19/2015,2015-01-19 21:30:06,,10
01/19/2015,2015-01-19 21:35:05,,10
01/19/2015,2015-01-19 21:40:10,,10
01/19/2015,2015-01-19 21:45:05,,10
01/19/2015,2015-01-19 21:50:06,,10
01/19/2015,2015-01-19 21:55:05,,10
01/19/2015,2015-01-19 22:00:06,,10
01/19/2015,2015-01-19 22:05:05,,10
01/19/2015,2015-01-19 22:10:05,,10
01/19/2015,2015-01-19 22:15:05,,10
01/19/2015,2015-01-19 22:20:05,,10
01/19/2015,2015-01-19 22:25:05,,10
01/19/2015,2015-01-19 22:30:05,,10
01/19/2015,2015-01-19 22:35:05,,10
01/19/2015,2015-01-19 22:40:05,,10
01/19/2015,2015-01-19 22:45:05,,10
01/19/2015,2015-01-19 22:50:06,,10
01/19/2015,2015-01-19 22:55:05,,10
01/19/2015,2015-01-19 23:00:06,,10
01/20/2015,2015-01-20 08:45:05,,5
01/20/2015,2015-01-20 08:50:05,,5
01/20/2015,2015-01-20 08:55:05,,5
01/20/2015,2015-01-20 09:00:06,,5
01/20/2015,2015-01-20 09:05:06,,10
01/20/2015,2015-01-20 09:10:05,,10
01/20/2015,2015-01-20 09:15:11,,10
01/20/2015,2015-01-20 09:20:05,,10
01/20/2015,2015-01-20 09:25:05,,10
01/20/2015,2015-01-20 09:30:05,,10
01/20/2015,2015-01-20 09:35:04,,10
01/20/2015,2015-01-20 09:36:27,7,
01/20/2015,2015-01-20 09:40:05,,10
01/20/2015,2015-01-20 09:45:05,,10
01/20/2015,2015-01-20 09:48:16,,10
01/20/2015,2015-01-20 09:50:09,,10
01/20/2015,2015-01-20 09:55:05,,15
01/20/2015,2015-01-20 10:00:05,,15
01/20/2015,2015-01-20 10:05:05,,20
01/20/2015,2015-01-20 10:10:06,,20
01/20/2015,2015-01-20 10:15:04,,20
01/20/2015,2015-01-20 10:20:05,,20
01/20/2015,2015-01-20 10:25:04,,20
01/20/2015,2015-01-20 10:30:06,,20
01/20/2015,2015-01-20 10:35:05,,15
01/20/2015,2015-01-20 10:40:06,,20
01/20/2015,2015-01-20 10:45:05,,20
01/20/2015,2015-01-20 10:50:05,,20
01/20/2015,2015-01-20 10:55:05,,20
01/20/2015,2015-01-20 11:00:06,,15
01/20/2015,2015-01-20 11:05:05,,15
01/20/2015,2015-01-20 11:10:05,,15
01/20/2015,2015-01-20 11:15:05,,15
01/20/2015,2015-01-20 11:17:02,23,
01/20/2015,2015-01-20 11:20:05,,20
01/20/2015,2015-01-20 11:25:05,,20
01/20/2015,2015-01-20 11:30:06,,20
01/20/2015,2015-01-20 11:35:05,,30
01/20/2015,2015-01-20 11:40:06,,30
01/20/2015,2015-01-20 11:45:05,,30
01/20/2015,2015-01-20 11:50:05,,30
01/20/2015,2015-01-20 11:55:04,,30
01/20/2015,2015-01-20 12:00:05,,30
01/20/2015,2015-01-20 12:05:05,,30
01/20/2015,2015-01-20 12:10:05,,30
01/20/2015,2015-01-20 12:15:05,,25
01/20/2015,2015-01-20 12:20:05,,25
01/20/2015,2015-01-20 12:25:05,,25
01/20/2015,2015-01-20 12:30:06,,25
01/20/2015,2015-01-20 12:35:06,,30
01/20/2015,2015-01-20 12:40:05,,30
01/20/2015,2015-01-20 12:45:05,,30
01/20/2015,2015-01-20 12:50:05,,30
01/20/2015,2015-01-20 12:55:05,,30
01/20/2015,2015-01-20 13:00:06,,35
01/20/2015,2015-01-20 13:01:01,,35
